OrderID,OrderDate,CustomerID,Region,StoreID,ProductCategory,ProductName,Quantity,UnitPrice,Discount,Sales,Profit
1,2023-04-13,C1435,East,S93,Electronics,Headphones,8,602.67,0.05,4580.29,407.64
2,2023-11-27,C1458,North,S88,Grocery,Rice,5,605.1,0.1,2722.95,150.16
3,2023-12-10,C1491,West,S30,Clothing,Dress,6,10.77,0.15,54.93,5.27
4,2024-04-04,C1313,West,S22,Grocery,Milk,9,298.32,0.1,2416.39,362.37
5,2024-04-20,C1699,East,S80,Furniture,Chair,3,388.64,0.15,991.03,196.33
6,2023-05-11,C1484,South,S51,Grocery,Wheat,7,178.82,0.05,1189.15,341.55
7,2023-11-12,C1013,South,S9,Clothing,Shirt,5,238.58,0.15,1013.96,162.27
8,2024-03-30,C1427,West,S8,Furniture,Chair,3,910.23,0.15,2321.09,221.8
9,2024-01-23,C1001,North,S6,Clothing,Jeans,6,551.24,0.2,2645.95,773.67
10,2024-12-30,C1555,West,S34,Grocery,Milk,4,601.92,0.15,2046.53,125.47
11,2023-10-23,C1724,West,S80,Furniture,Table,2,544.3,0.05,1034.17,301.27
12,2023-07-07,C1379,South,S41,Clothing,Dress,1,25.48,0.0,25.48,6.19
13,2024-10-09,C1471,East,S63,Clothing,Shirt,3,709.79,0.1,1916.43,474.4
14,2024-01-14,C1772,North,S41,Electronics,Camera,7,851.54,0.15,5066.66,672.47
15,2023-02-17,C1502,West,S23,Electronics,Tablet,8,669.26,0.15,4550.97,952.92
16,2024-06-30,C1960,West,S99,Clothing,Jacket,5,971.99,0.1,4373.96,1050.61
17,2023-08-06,C1502,West,S14,Grocery,Milk,7,50.03,0.05,332.7,18.75
18,2024-04-05,C1690,West,S63,Furniture,Sofa,7,480.62,0.2,2691.47,476.77
19,2024-04-29,C1406,East,S15,Grocery,Milk,4,943.43,0.1,3396.35,759.75
20,2024-07-31,C1681,North,S45,Furniture,Wardrobe,9,114.44,0.15,875.47,219.67
21,2024-07-09,C1339,North,S30,Furniture,Bed,7,897.13,0.0,6279.91,741.24
22,2023-10-10,C1957,North,S77,Grocery,Snacks,9,311.73,0.1,2525.01,389.74
23,2024-11-07,C1224,East,S51,Furniture,Wardrobe,8,943.48,0.0,7547.84,1139.41
24,2024-05-11,C1441,South,S52,Clothing,Jeans,7,502.28,0.0,3515.96,305.96
25,2023-03-22,C1698,North,S2,Clothing,Jacket,2,416.93,0.2,667.09,90.9
26,2024-01-20,C1402,West,S2,Electronics,Smartphone,5,494.56,0.15,2101.88,147.58
27,2023-07-03,C1122,South,S17,Clothing,Shirt,6,374.11,0.15,1907.96,564.48
28,2024-05-25,C1751,West,S16,Electronics,Smartphone,1,159.21,0.1,143.29,13.85
29,2023-12-15,C1770,West,S20,Grocery,Rice,4,26.42,0.1,95.11,24.0
30,2023-05-28,C1863,West,S71,Electronics,Smartphone,4,941.12,0.05,3576.26,927.78
31,2024-04-17,C1945,South,S23,Grocery,Rice,3,236.26,0.05,673.34,199.0
32,2024-07-25,C1880,West,S2,Clothing,Jeans,1,102.17,0.15,86.84,16.46
33,2023-06-09,C1008,North,S99,Clothing,Dress,3,728.7,0.1,1967.49,519.58
34,2023-02-23,C1119,South,S33,Grocery,Snacks,8,852.42,0.0,6819.36,616.52
35,2024-02-26,C1103,North,S84,Grocery,Snacks,3,378.56,0.0,1135.68,245.17
36,2023-12-04,C1705,West,S54,Grocery,Wheat,3,655.44,0.0,1966.32,184.8
37,2024-08-02,C1800,South,S14,Grocery,Eggs,5,187.03,0.1,841.64,180.45
38,2023-02-02,C1687,East,S76,Furniture,Bed,3,639.97,0.2,1535.93,263.7
39,2023-10-10,C1026,West,S98,Electronics,Headphones,5,507.61,0.15,2157.34,468.64
40,2024-04-25,C1452,South,S61,Furniture,Chair,3,576.28,0.0,1728.84,105.29
41,2023-06-21,C1219,South,S30,Furniture,Table,5,884.66,0.15,3759.8,202.52
42,2023-10-07,C1348,West,S46,Grocery,Milk,5,576.57,0.15,2450.42,645.08
43,2023-07-10,C1252,East,S85,Furniture,Table,7,275.79,0.1,1737.48,160.5
44,2024-07-19,C1569,South,S67,Furniture,Bed,8,79.71,0.05,605.8,123.43
